,Date,Confirmed,Fatal,Recovered
0,2020-02-13,3,0,1
1,2020-02-14,3,0,1
2,2020-02-15,3,0,1
3,2020-02-16,3,0,2
4,2020-02-17,3,0,2
5,2020-02-18,3,0,2
6,2020-02-19,3,0,2
7,2020-02-20,3,0,3
8,2020-02-21,3,0,3
9,2020-02-22,3,0,3
10,2020-02-23,3,0,3
11,2020-02-24,3,0,3
12,2020-02-25,3,0,3
13,2020-02-26,3,0,3
14,2020-02-27,3,0,3
15,2020-02-28,3,0,3
16,2020-02-29,3,0,3
17,2020-03-01,3,0,3
18,2020-03-02,5,0,3
19,2020-03-03,6,0,3
20,2020-03-04,28,0,3
21,2020-03-05,30,0,3
22,2020-03-06,31,0,3
23,2020-03-07,34,0,3
24,2020-03-08,39,0,3
25,2020-03-09,48,0,3
26,2020-03-10,63,0,4
27,2020-03-11,71,0,4
28,2020-03-12,81,1,4
29,2020-03-13,91,1,10
30,2020-03-14,102,2,10
31,2020-03-15,112,2,13
32,2020-03-16,126,2,14
33,2020-03-17,146,3,15
34,2020-03-18,171,3,15
35,2020-03-19,198,4,20
36,2020-03-20,256,4,23
37,2020-03-21,334,4,23
38,2020-03-22,403,7,23
39,2020-03-23,497,9,25
40,2020-03-24,571,10,40
41,2020-03-25,657,11,43
42,2020-03-26,730,16,50
43,2020-03-27,883,19,75
44,2020-03-28,1019,24,85
45,2020-03-29,1139,27,102
46,2020-03-30,1326,41,137
47,2020-03-31,1635,47,150
48,2020-04-01,2059,53,169
49,2020-04-02,2545,69,191
50,2020-04-03,3105,83,230
51,2020-04-04,3684,96,286
52,2020-04-05,4293,118,329
53,2020-04-06,4777,134,394
54,2020-04-07,5350,161,469
55,2020-04-08,5915,181,565
56,2020-04-09,6728,227,635
57,2020-04-10,7599,249,786
58,2020-04-11,8453,290,972
59,2020-04-12,9211,332,1086
60,2020-04-13,10454,359,1198
61,2020-04-14,11485,396,1365
62,2020-04-15,12371,423,1509
63,2020-04-16,13432,449,1767
64,2020-04-17,14354,487,2040
65,2020-04-18,15725,522,2466
66,2020-04-19,17305,560,2854
67,2020-04-20,18544,593,3273
68,2020-04-21,20081,646,3976
69,2020-04-22,21373,682,4370
70,2020-04-23,23040,722,5012
71,2020-04-24,24448,781,5496
72,2020-04-25,26283,825,5938
73,2020-04-26,27890,881,6523
74,2020-04-27,29458,939,7103
75,2020-04-28,31360,1008,7739
76,2020-04-29,33065,1079,8429
77,2020-04-30,34866,1154,9059
78,2020-05-01,37262,1231,10021
79,2020-05-02,39826,1323,10852
80,2020-05-03,42778,1463,11763
81,2020-05-04,46434,1566,12845
82,2020-05-05,49405,1694,14140
83,2020-05-06,53007,1785,15301
84,2020-05-07,56351,1889,16776
85,2020-05-08,59690,1986,17887
86,2020-05-09,62865,2101,19301
87,2020-05-10,67176,2213,20970
88,2020-05-11,70768,2294,22549
89,2020-05-12,74330,2414,24454
90,2020-05-13,78056,2551,26417
91,2020-05-14,82047,2648,28011
92,2020-05-15,85855,2752,30245
93,2020-05-16,90649,2872,34257
94,2020-05-17,95698,3024,36795
95,2020-05-18,100326,3155,39277
96,2020-05-19,106480,3301,42309
97,2020-05-20,112200,3435,45422
98,2020-05-21,118223,3583,48553
99,2020-05-22,124759,3725,51833
100,2020-05-23,131424,3867,54409
101,2020-05-24,138537,4023,57694
102,2020-05-25,144951,4173,60706
103,2020-05-26,150858,4346,64291
104,2020-05-27,158104,4534,67725
105,2020-05-28,165358,4710,70896
106,2020-05-29,173496,4979,82631
107,2020-05-30,181860,5184,86934
108,2020-05-31,190649,5406,91862
109,2020-06-01,198372,5607,95744
110,2020-06-02,207187,5829,100275
111,2020-06-03,216876,6088,104064
112,2020-06-04,226723,6362,108454
113,2020-06-05,236195,6648,113224
114,2020-06-06,246603,6945,118657
115,2020-06-07,257485,7206,123848
116,2020-06-08,266021,7477,129019
117,2020-06-09,276002,7749,134653
118,2020-06-10,287158,8107,140928
119,2020-06-11,298293,8501,146972
120,2020-06-12,309599,8889,154235
121,2020-06-13,321638,9198,162327
122,2020-06-14,333043,9522,169685
123,2020-06-15,343075,9918,180324
124,2020-06-16,354161,11922,187550
125,2020-06-17,367269,12263,194440
126,2020-06-18,381098,12606,205181
