,Date,Confirmed,Infected,Fatal,Recovered,Susceptible
0,2020-02-13,3,2,0,1,1352617325
1,2020-02-14,3,2,0,1,1352617325
2,2020-02-15,3,2,0,1,1352617325
3,2020-02-16,3,1,0,2,1352617325
4,2020-02-17,3,1,0,2,1352617325
5,2020-02-18,3,1,0,2,1352617325
6,2020-02-19,3,1,0,2,1352617325
7,2020-02-20,3,0,0,3,1352617325
8,2020-02-21,3,0,0,3,1352617325
9,2020-02-22,3,0,0,3,1352617325
10,2020-02-23,3,0,0,3,1352617325
11,2020-02-24,3,0,0,3,1352617325
12,2020-02-25,3,0,0,3,1352617325
13,2020-02-26,3,0,0,3,1352617325
14,2020-02-27,3,0,0,3,1352617325
15,2020-02-28,3,0,0,3,1352617325
16,2020-02-29,3,0,0,3,1352617325
17,2020-03-01,3,0,0,3,1352617325
18,2020-03-02,5,2,0,3,1352617323
19,2020-03-03,6,3,0,3,1352617322
20,2020-03-04,28,25,0,3,1352617300
21,2020-03-05,30,27,0,3,1352617298
22,2020-03-06,31,28,0,3,1352617297
23,2020-03-07,34,31,0,3,1352617294
24,2020-03-08,39,36,0,3,1352617289
25,2020-03-09,48,45,0,3,1352617280
26,2020-03-10,63,59,0,4,1352617265
27,2020-03-11,71,67,0,4,1352617257
28,2020-03-12,81,76,1,4,1352617247
29,2020-03-13,91,80,1,10,1352617237
30,2020-03-14,102,90,2,10,1352617226
31,2020-03-15,112,97,2,13,1352617216
32,2020-03-16,126,110,2,14,1352617202
33,2020-03-17,146,128,3,15,1352617182
34,2020-03-18,171,153,3,15,1352617157
35,2020-03-19,198,174,4,20,1352617130
36,2020-03-20,256,229,4,23,1352617072
37,2020-03-21,334,307,4,23,1352616994
38,2020-03-22,403,373,7,23,1352616925
39,2020-03-23,497,463,9,25,1352616831
40,2020-03-24,571,521,10,40,1352616757
41,2020-03-25,657,603,11,43,1352616671
42,2020-03-26,730,664,16,50,1352616598
43,2020-03-27,883,789,19,75,1352616445
44,2020-03-28,1019,910,24,85,1352616309
45,2020-03-29,1139,1010,27,102,1352616189
46,2020-03-30,1326,1148,41,137,1352616002
47,2020-03-31,1635,1438,47,150,1352615693
48,2020-04-01,2059,1837,53,169,1352615269
49,2020-04-02,2545,2285,69,191,1352614783
50,2020-04-03,3105,2792,83,230,1352614223
51,2020-04-04,3684,3302,96,286,1352613644
52,2020-04-05,4293,3846,118,329,1352613035
53,2020-04-06,4777,4249,134,394,1352612551
54,2020-04-07,5350,4720,161,469,1352611978
55,2020-04-08,5915,5169,181,565,1352611413
56,2020-04-09,6728,5866,227,635,1352610600
57,2020-04-10,7599,6564,249,786,1352609729
58,2020-04-11,8453,7191,290,972,1352608875
59,2020-04-12,9211,7793,332,1086,1352608117
60,2020-04-13,10454,8897,359,1198,1352606874
61,2020-04-14,11485,9724,396,1365,1352605843
62,2020-04-15,12371,10439,423,1509,1352604957
63,2020-04-16,13432,11216,449,1767,1352603896
64,2020-04-17,14354,11827,487,2040,1352602974
65,2020-04-18,15725,12737,522,2466,1352601603
66,2020-04-19,17305,13891,560,2854,1352600023
67,2020-04-20,18544,14678,593,3273,1352598784
68,2020-04-21,20081,15459,646,3976,1352597247
69,2020-04-22,21373,16321,682,4370,1352595955
70,2020-04-23,23040,17306,722,5012,1352594288
71,2020-04-24,24448,18171,781,5496,1352592880
72,2020-04-25,26283,19520,825,5938,1352591045
73,2020-04-26,27890,20486,881,6523,1352589438
74,2020-04-27,29458,21416,939,7103,1352587870
75,2020-04-28,31360,22613,1008,7739,1352585968
76,2020-04-29,33065,23557,1079,8429,1352584263
77,2020-04-30,34866,24653,1154,9059,1352582462
78,2020-05-01,37262,26010,1231,10021,1352580066
79,2020-05-02,39826,27651,1323,10852,1352577502
80,2020-05-03,42778,29552,1463,11763,1352574550
81,2020-05-04,46434,32023,1566,12845,1352570894
82,2020-05-05,49405,33571,1694,14140,1352567923
83,2020-05-06,53007,35921,1785,15301,1352564321
84,2020-05-07,56351,37686,1889,16776,1352560977
85,2020-05-08,59690,39817,1986,17887,1352557638
86,2020-05-09,62865,41463,2101,19301,1352554463
87,2020-05-10,67176,43993,2213,20970,1352550152
88,2020-05-11,70768,45925,2294,22549,1352546560
89,2020-05-12,74330,47462,2414,24454,1352542998
90,2020-05-13,78056,49088,2551,26417,1352539272
91,2020-05-14,82047,51388,2648,28011,1352535281
92,2020-05-15,85855,52858,2752,30245,1352531473
93,2020-05-16,90649,53520,2872,34257,1352526679
94,2020-05-17,95698,55879,3024,36795,1352521630
95,2020-05-18,100326,57894,3155,39277,1352517002
96,2020-05-19,106480,60870,3301,42309,1352510848
97,2020-05-20,112200,63343,3435,45422,1352505128
98,2020-05-21,118223,66087,3583,48553,1352499105
99,2020-05-22,124759,69201,3725,51833,1352492569
100,2020-05-23,131424,73148,3867,54409,1352485904
101,2020-05-24,138537,76820,4023,57694,1352478791
102,2020-05-25,144951,80072,4173,60706,1352472377
103,2020-05-26,150858,82221,4346,64291,1352466470
104,2020-05-27,158104,85845,4534,67725,1352459224
105,2020-05-28,165358,89752,4710,70896,1352451970
106,2020-05-29,173496,85886,4979,82631,1352443832
107,2020-05-30,181860,89742,5184,86934,1352435468
108,2020-05-31,190649,93381,5406,91862,1352426679
109,2020-06-01,198372,97021,5607,95744,1352418956
110,2020-06-02,207187,101083,5829,100275,1352410141
111,2020-06-03,216876,106724,6088,104064,1352400452
112,2020-06-04,226723,111907,6362,108454,1352390605
113,2020-06-05,236195,116323,6648,113224,1352381133
114,2020-06-06,246603,121001,6945,118657,1352370725
115,2020-06-07,257485,126431,7206,123848,1352359843
116,2020-06-08,266021,129525,7477,129019,1352351307
117,2020-06-09,276002,133600,7749,134653,1352341326
118,2020-06-10,287158,138123,8107,140928,1352330170
119,2020-06-11,298293,142820,8501,146972,1352319035
120,2020-06-12,309599,146475,8889,154235,1352307729
121,2020-06-13,321638,150113,9198,162327,1352295690
122,2020-06-14,333043,153836,9522,169685,1352284285
123,2020-06-15,343075,152833,9918,180324,1352274253
124,2020-06-16,354161,154689,11922,187550,1352263167
125,2020-06-17,367269,160566,12263,194440,1352250059
126,2020-06-18,381098,163311,12606,205181,1352236230
127,2020-06-19,395838,168658,12970,214210,1352221490
128,2020-06-20,411753,170291,13278,228184,1352205575
129,2020-06-21,426904,175941,13704,237259,1352190424
130,2020-06-22,440464,178310,14016,248138,1352176864
131,2020-06-23,456120,183036,14484,258600,1352161208
132,2020-06-24,472988,186391,14908,271689,1352144340
133,2020-06-25,491193,190212,15309,285672,1352126135
134,2020-06-26,509448,197840,15690,295918,1352107880
135,2020-06-27,529590,203339,16104,310147,1352087738
136,2020-06-28,549200,210934,16488,321778,1352068128
137,2020-06-29,567539,215359,16905,335275,1352049789
138,2020-06-30,585795,220544,17411,347840,1352031533
139,2020-07-01,605224,227471,17849,359904,1352012104
140,2020-07-02,627171,229041,18227,379903,1351990157
141,2020-07-03,649889,236898,18671,394320,1351967439
142,2020-07-04,673907,245559,19282,409066,1351943421
143,2020-07-05,697849,253251,19703,424895,1351919479
144,2020-07-06,720349,259963,20176,440210,1351896979
145,2020-07-07,743496,265795,20655,457046,1351873832
146,2020-07-08,769057,271356,21147,476554,1351848271
147,2020-07-09,794847,277259,21626,495962,1351822481
148,2020-07-10,822609,284212,22146,516251,1351794719
149,2020-07-11,850366,291445,22689,536232,1351766962
150,2020-07-12,879472,301853,23189,554430,1351737856
151,2020-07-13,907650,311807,23730,572113,1351709678
152,2020-07-14,937567,320160,24317,593090,1351679761
153,2020-07-15,970174,331507,24931,613736,1351647154
154,2020-07-16,1005642,343428,25611,636603,1351611686
155,2020-07-17,1040462,360096,26287,654079,1351576866
