,Type,Start,End,Population,ODE,Rt,theta,kappa,rho,sigma,tau,alpha1 [-],1/alpha2 [day],1/beta [day],1/gamma [day],RMSLE,Trials,Runtime
0th,Past,13Feb2020,18Mar2020,1352617328,SIR-F,4.84,0.00957265070399074,0.0005785433180566753,0.12261676894233323,0.0245380384384546,1440,0.01,1728.0,8.0,40.0,0.7832018644070667,898.0,0 min 40 sec
1st,Past,19Mar2020,30Mar2020,1352617328,SIR-F,15.02,0.020207036479162836,0.00034226112983943516,0.2110800110915753,0.013425568853850987,1440,0.02,2921.0,4.0,74.0,0.1389737122831025,831.0,0 min 35 sec
2nd,Past,31Mar2020,16Apr2020,1352617328,SIR-F,6.73,1.6249070886617675e-05,0.005880763241360736,0.16764382298518515,0.019028647322879486,1440,0.0,170.0,5.0,52.0,0.11184311293672289,907.0,0 min 40 sec
3rd,Past,17Apr2020,02May2020,1352617328,SIR-F,2.67,0.0006745245223314228,0.002803673527572875,0.0930969155989101,0.03209020284584017,1440,0.001,356.0,10.0,31.0,0.02255352689612071,823.0,0 min 35 sec
4th,Past,03May2020,18May2020,1352617328,SIR-F,2.17,0.00012730820437857057,0.0027467806097529785,0.09119546675220196,0.0392857652907221,1440,0.0,364.0,10.0,25.0,0.03127385725974774,914.0,0 min 40 sec
5th,Past,19May2020,04Jun2020,1352617328,SIR-F,1.73,0.00021762065948244743,0.00231401440395782,0.08932355657115681,0.04928231735193573,1440,0.0,432.0,11.0,20.0,0.0251497941426765,318.0,0 min 10 sec
6th,Past,05Jun2020,14Jun2020,1352617328,SIR-F,1.69,0.00044382852686779327,0.0023360671895857614,0.08033552082158553,0.04504694332429595,1440,0.0,428.0,12.0,22.0,0.007012524982399595,1134.0,0 min 55 sec
7th,Past,15Jun2020,23Jun2020,1352617328,SIR-F,1.36,0.000527533298709426,0.003997555609391384,0.08344704309898114,0.05721630081704276,1440,0.001,250.0,11.0,17.0,0.036103430512697675,988.0,0 min 45 sec
8th,Past,24Jun2020,02Jul2020,1352617328,SIR-F,1.43,0.00011408550597957675,0.0020055953154671214,0.0932215642774456,0.06336103128941664,1440,0.0,498.0,10.0,15.0,0.0053707432928043084,744.0,0 min 30 sec
9th,Past,03Jul2020,12Jul2020,1352617328,SIR-F,1.4,0.00019300023479159283,0.0018771324039463658,0.0946350849472183,0.0657016215535618,1440,0.0,532.0,10.0,15.0,0.005471088547546044,326.0,0 min 10 sec
10th,Past,13Jul2020,24Jul2020,1352617328,SIR-F,1.53,0.00021411761381698628,0.0018070926774945214,0.1010885195651145,0.06424222841224674,1440,0.0,553.0,9.0,15.0,0.0057793666725716696,984.0,0 min 45 sec
11th,Past,25Jul2020,06Aug2020,1352617328,SIR-F,1.33,0.0011124209308426198,0.0013287990267807101,0.09969674323931013,0.07355714282139846,1440,0.001,752.0,10.0,13.0,0.013745472376235059,553.0,0 min 20 sec
12th,Past,07Aug2020,19Aug2020,1352617328,SIR-F,1.12,0.0004240272778122897,0.0014129392003969787,0.09633456449504733,0.08475122864351944,1440,0.0,707.0,10.0,11.0,0.005989506660257199,1303.0,1 min 11 sec
13th,Past,20Aug2020,01Sep2020,1352617328,SIR-F,1.13,0.0003954785539846367,0.001267043336636194,0.09673064341277046,0.0844870012772609,1440,0.0,789.0,10.0,11.0,0.008813883262018311,1192.0,1 min  0 sec
14th,Past,02Sep2020,12Sep2020,1352617328,SIR-F,1.22,0.0006810862884176017,0.001123264552583789,0.10217747558161938,0.08277297480787846,1440,0.001,890.0,9.0,12.0,0.0033422615220574585,182.0,0 min  5 sec
15th,Past,13Sep2020,23Sep2020,1352617328,SIR-F,1.01,0.0008278666275115899,0.0010792855946991013,0.09085025283134626,0.08893394218651339,1440,0.001,926.0,11.0,11.0,0.011125807095041036,740.0,0 min 30 sec
16th,Past,24Sep2020,05Oct2020,1352617328,SIR-F,0.95,0.001156451581323241,0.0009893505573601235,0.08204129742816593,0.08488952987026076,1440,0.001,1010.0,12.0,11.0,0.004278923280438347,179.0,0 min  5 sec
17th,Past,06Oct2020,15Oct2020,1352617328,SIR-F,0.87,0.000598896228708942,0.0009506025693146371,0.08414055668227213,0.09535243210253842,1440,0.001,1051.0,11.0,10.0,0.004762063239364124,180.0,0 min  5 sec
18th,Past,16Oct2020,29Oct2020,1352617328,SIR-F,0.76,0.000158377557586506,0.000896469457999037,0.07069145398598754,0.09177893972533904,1440,0.0,1115.0,14.0,10.0,0.005855696821699358,179.0,0 min  5 sec
19th,Past,30Oct2020,11Nov2020,1352617328,SIR-F,0.85,0.0007041921093668925,0.0010293504789727402,0.08881917308006594,0.10322431373538525,1440,0.001,971.0,11.0,9.0,0.009180963658803495,181.0,0 min  5 sec
20th,Past,12Nov2020,25Nov2020,1352617328,SIR-F,0.9,9.322321827985548e-05,0.001148047858271277,0.0813743064527724,0.08915453470662195,1440,0.0,871.0,12.0,11.0,0.013649249282559294,184.0,0 min  5 sec
21st,Past,26Nov2020,11Dec2020,1352617328,SIR-F,0.86,0.000646732671139544,0.0010739017173837027,0.08795671313918728,0.10089498582173104,1440,0.001,931.0,11.0,9.0,0.008653364895132068,183.0,0 min  5 sec
22nd,Past,12Dec2020,22Dec2020,1352617328,SIR-F,0.78,0.00010708525434420968,0.0011320934850114336,0.07495186896647535,0.09533374420043406,1440,0.0,883.0,13.0,10.0,0.008167601625067562,180.0,0 min  5 sec
23rd,Past,23Dec2020,02Jan2021,1352617328,SIR-F,0.86,0.0003668956014174006,0.0009873447697818828,0.0769528152385167,0.08795573883221972,1440,0.0,1012.0,12.0,11.0,0.008068525439461351,181.0,0 min  5 sec
24th,Past,03Jan2021,12Jan2021,1352617328,SIR-F,0.85,9.304605059515551e-05,0.001042916751293859,0.08092804270293638,0.09463696123311095,1440,0.0,958.0,12.0,10.0,0.012034480758245347,186.0,0 min  5 sec
25th,Past,13Jan2021,22Jan2021,1352617328,SIR-F,0.83,0.00022688950671781569,0.0007467384672568498,0.06377028900692791,0.0761415845810855,1440,0.0,1339.0,15.0,13.0,0.008429909908554236,185.0,0 min  5 sec
26th,Past,23Jan2021,04Feb2021,1352617328,SIR-F,0.84,0.0017731649054494774,0.0006630313687509466,0.07055598022900188,0.08325460610135595,1440,0.002,1508.0,14.0,12.0,0.007068146341794358,179.0,0 min  5 sec
27th,Past,05Feb2021,19Feb2021,1352617328,SIR-F,0.93,0.00031388659081878743,0.0007145052997022996,0.08325919101516052,0.08859106435495413,1440,0.0,1399.0,12.0,11.0,0.014404548300265992,183.0,0 min  5 sec
28th,Past,20Feb2021,03Mar2021,1352617328,SIR-F,1.19,0.0017709165839301115,0.0005180900148654467,0.10135869854808556,0.08442781644418895,1440,0.002,1930.0,9.0,11.0,0.009530831948811793,184.0,0 min  5 sec
29th,Past,04Mar2021,16Mar2021,1352617328,SIR-F,1.26,0.00040642323950661945,0.0005263765076841468,0.10043208370626151,0.07942268741209296,1440,0.0,1899.0,9.0,12.0,0.015666669136679568,914.0,0 min 40 sec
30th,Past,17Mar2021,25Mar2021,1352617328,SIR-F,1.88,0.0002936226948121812,0.0006225616357272977,0.13897835548835544,0.07310793797888472,1440,0.0,1606.0,7.0,13.0,0.005955687736068266,183.0,0 min  5 sec
31st,Past,26Mar2021,03Apr2021,1352617328,SIR-F,1.76,0.0014730994530036995,0.0005706310243282432,0.12527373317949497,0.07069261487393477,1440,0.001,1752.0,7.0,14.0,0.009557126079399753,182.0,0 min  5 sec
32nd,Past,04Apr2021,20Apr2021,1352617328,SIR-F,1.95,7.081842974403982e-05,0.0007910952896803795,0.14093612214335619,0.07130576197215449,1440,0.0,1264.0,7.0,14.0,0.004381870257930035,1293.0,0 min 50 sec
33rd,Past,21Apr2021,05May2021,1352617328,SIR-F,1.42,0.0003077017637051718,0.0010493850909838241,0.1299607181344847,0.09066386125227743,1440,0.0,952.0,7.0,11.0,0.02268074330193701,1389.0,0 min 45 sec
34th,Past,06May2021,20May2021,1352617328,SIR-F,0.95,0.0003737812328194023,0.0011211187935886726,0.09785561913003027,0.10166669412729883,1440,0.0,891.0,10.0,9.0,0.028930425494062894,942.0,0 min 25 sec
35th,Past,21May2021,03Jun2021,1352617328,SIR-F,0.68,0.0005014373254931221,0.0014522688885125464,0.0854977390116651,0.12479508797241971,1440,0.001,688.0,11.0,8.0,0.010538572554222313,179.0,0 min  5 sec
36th,Past,04Jun2021,18Jun2021,1352617328,SIR-F,0.6,0.002045354627050993,0.0023952081919025826,0.07433724707899608,0.1222023802786315,1440,0.002,417.0,13.0,8.0,0.008064586516320249,182.0,0 min  5 sec
